"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Apr 07 21:29:40 GMT 2023","Fri Apr 07 21:29:41 GMT 2023","1811","","test_selene","","","","test_github",""
"broken","Fri Apr 07 21:29:42 GMT 2023","Fri Apr 07 21:29:43 GMT 2023","816","","test_selene_with_steps","","","","test_github",""
"broken","Fri Apr 07 21:29:42 GMT 2023","Fri Apr 07 21:29:42 GMT 2023","816","","test_selene_with_decorator","","","","test_decorator_steps",""
