"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Apr 07 21:19:27 GMT 2023","Fri Apr 07 21:19:28 GMT 2023","791","","test_selene_with_decorator","","","","test_decorator_steps",""
"broken","Fri Apr 07 21:19:26 GMT 2023","Fri Apr 07 21:19:27 GMT 2023","1536","","test_selene","","","","test_github",""
"broken","Fri Apr 07 21:19:28 GMT 2023","Fri Apr 07 21:19:29 GMT 2023","784","","test_selene_with_steps","","","","test_github",""
