"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Проверка отображения задачи #76 на github","Я как пользовтель могу увидеть задачу с номером #76 для её открытия и оценки","0","1","0","0","0"
"","","","0","2","0","0","0"
